,当前学区房价格,教育花费(千元/年),时间成本(分钟),占有教育资源,学校,学区,教育花费效率,时间成本效率,学区内教育资源占有差别,西城区教育资源占有差别,小区,户数
658,178833.16988216992,176.21840041936014,33.14888888888889,35.15555555555556,育翔小学,德胜学区,-0.007294904527406293,-0.45598671296995236,0.0,1.1639791516665738,新明嘉园,369
659,158891.20862097706,157.0707236243617,34.17009803921568,32.07843137254902,北京小学天宁寺分校,广安门外学区,-0.030888141584203645,-0.6970512079237788,0.0,-1.9131450313399654,手帕口北街11号院,378
660,214993.0792095576,211.76537642720857,38.43,35.15555555555556,三帆中学附属小学,德胜学区,-0.0059375283505576654,-0.2964344433265437,0.0,1.1639791516665738,双旗杆小区,1917
661,103401.1442527852,102.91479265687924,30.35763888888889,36.354166666666664,志成小学,新街口学区,0.0007824896998825739,-0.46655016650730297,0.0,2.3625902627776796,金丝胡同小区,70
662,210276.41526393473,207.2662001852674,27.73913043478261,36.28985507246377,厂桥小学,什刹海学区,0.0,-0.7586787138310691,-7.105427357601002e-15,2.2982786685747882,新太平胡同小区,13
663,129266.10866988174,127.94675388324562,26.214814814814815,39.629629629629626,北京市西城外国语学校附属小学,展览路学区,0.03114869053104466,0.0,-7.105427357601002e-15,5.6380532257406415,双清园,199
664,151921.177681966,150.3608270515999,34.86613756613757,33.63492063492063,北京第二实验小学,金融街学区,-0.02048016011553688,-0.5199632859109681,7.105427357601002e-15,-0.35665576896835205,新文化街80号院,96
665,132054.8660434424,130.98233062505747,35.82420634920634,33.63492063492063,北京第二实验小学涭水河分校,金融街学区,-0.024079736113535342,-0.4800694893170769,7.105427357601002e-15,-0.35665576896835205,新文化街44号院,72
666,162550.8263655407,160.6055116860936,25.482716049382717,39.629629629629626,阜成门外第一小学,展览路学区,0.023876144192531822,0.0,-7.105427357601002e-15,5.6380532257406415,展览馆路40号楼,192
667,126394.30205744237,125.438427841865,36.700132275132276,33.63492063492063,北京第二实验小学涭水河分校,金融街学区,-0.025354620007235543,-0.4486018312298934,7.105427357601002e-15,-0.35665576896835205,新文化街40号院,128
668,186295.23709773942,184.1120992165983,36.97063492063492,33.63492063492063,北京第二实验小学涭水河分校,金融街学区,-0.016249487943461448,-0.43970117395944486,7.105427357601002e-15,-0.35665576896835205,新文化街12号院,272
669,135057.63698102106,133.64538122821958,25.382070707070707,27.575757575757578,白纸坊小学,陶然亭-白纸坊学区,-0.07717121678207833,-5.894216917061117,0.0,-6.415818828131407,建功北里(六区),2928
670,162570.91773801285,160.7410003107386,35.09497354497354,33.63492063492063,北京第二实验小学,金融街学区,-0.01896183585288486,-0.509843626954663,7.105427357601002e-15,-0.35665576896835205,新文化街127号院,176
671,224461.32761995035,221.0199964253882,27.595410628019327,36.28985507246377,厂桥小学,什刹海学区,0.0,-0.7842840666301093,-7.105427357601002e-15,2.2982786685747882,正觉胡同小区,4
672,173001.07562111772,170.82499838570376,31.288071895424835,32.07843137254902,北京小学天宁寺分校,广安门外学区,-0.028057709416383896,-0.9497126338359098,0.0,-1.9131450313399654,新居东里,392
673,201317.33673077403,198.50196037880747,27.49722222222222,38.121212121212125,北京第二实验小学白云路分校,月坛学区,0.010301510148419776,-0.36258422192096634,-7.105427357601002e-15,4.12963571732314,真武庙头条4号院,846
